task,model,r2_train,r2_test,rmse_test,accuracy,weighted_f1,macro_f1,tfidf_max_features,tfidf_ngram_range,tfidf_svd_n_components,imb_sampler,xgb_colsample_bytree,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999966561794281,0.6897834539413452,0.8529613799087534,0.4475103734439834,0.44842246332994967,0.4218724220782889,20000,"(1, 1)",200,none,1.0,0.15,8,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.8713931441307068,0.6945300102233887,0.8464106888115065,0.42406639004149377,0.41747578639381006,0.4063894089673708,20000,"(1, 1)",300,smote,1.0,0.1,4,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.889955997467041,0.6950210332870483,0.8457300829390065,0.4271784232365145,0.4232387022692814,0.41058626090157924,20000,"(1, 1)",300,smote,1.0,0.1,4,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9182295799255371,0.6958252787590027,0.84461429268832,0.42821576763485475,0.42638734222088226,0.4123073280309016,20000,"(1, 1)",300,smote,1.0,0.1,4,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9783474206924438,0.7021212577819824,0.8358274726117066,0.44273858921161824,0.43994214979573776,0.4266298394671047,20000,"(1, 1)",300,smote,1.0,0.1,6,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.986586332321167,0.7023941278457642,0.8354445100046292,0.44813278008298757,0.4463993600438775,0.4327422795403678,20000,"(1, 1)",300,smote,1.0,0.1,6,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9947949051856995,0.7016370296478271,0.8365065874660064,0.4470954356846473,0.44603071120878646,0.4313880015478704,20000,"(1, 1)",300,smote,1.0,0.1,6,800,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9995723962783813,0.6968424916267395,0.8432008227618473,0.4255186721991701,0.42175891073201854,0.40666127433419064,20000,"(1, 1)",300,smote,1.0,0.1,8,500,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.999840259552002,0.6968839764595032,0.8431431389307409,0.4271784232365145,0.4233641140607739,0.40816641478465004,20000,"(1, 1)",300,smote,1.0,0.1,8,600,1.0
star_rating,hybrid_sbert_w2v_tfidf_svd_xgbreg,0.9999471306800842,0.6968919634819031,0.8431320399958261,0.42738589211618255,0.4239625474526898,0.40857350876132054,20000,"(1, 1)",300,smote,1.0,0.1,8,800,1.0
